key_resp.keys,key_resp.rt,slider.response,pOrder,date,expName,psychopyVersion,frameRate,
space,0.7214819999999236,,1,2025_May_05_1758,11-20_game,2021.2.3,163.46520071040544,
,,17.0,,,,,,
