key_resp.keys,key_resp.rt,slider.response,pOrder,date,expName,psychopyVersion,frameRate,
space,0.26218939999989743,,4,2025_May_05_1749,11-20_game,2021.2.3,162.56250528283698,
,,16.0,,,,,,
